Number	Decade	Country	Source	File
30585993	1950s	USA	Schiaparelli  Magazine Advert	dfa791e7b186193396d0d04c8a4c9fa7.jpg
30585985	1922	USA	Coca Cola Magazine Advert	6af411a5c925eae44f887211f4f0af58.jpg
30585976	1970	USA	Life Magazine Cover	5f135a0e62c5bf4b2b8a06f88d969bbf.jpg
30585806	1985	USA	Gap Magazine Advert	3c4824be72dbea29140a1e7684ab02ae.jpg
30585804	1984	USA	Victoria's Secret Magazine Advert	4b1b1a484950b6062657bd51cfa35d06.jpg
30585502	1920s	USA	Pickwick Magazine Advert	c7ba347ffff53fca8caf395552729ad0.jpg
30585501	1920s	USA	Robert Burns Magazine Advert	352458b5638946535422ba99c98e041c.jpg
30585497	1920s	USA	Chesterfield Magazine Advert	ff19755371b9329662e44481cdc7ce9b.jpg
30585496	1920s	USA	Lucky Strike Magazine Advert	254ab17de6da56c81427bac896173950.jpg
30585494	1920s	USA	Pierce-Arrow Magazine Advert	7f45a33eb7c6d5ca450336bde9b028f9.jpg
30585493	1920s	USA	Fisk Magazine Advert	cbd0e78a860d08735e79a3c8ba75a4b5.jpg
30585492	1920s	USA	Fisk Magazine Advert	cbe0212088f4c137190e8d6b732fad61.jpg
30585491	1920s	USA	Packard Magazine Advert	7ea5c05be51ad0999eefed9d8e625d23.jpg
30585489	1920s	USA	General Electric Magazine Advert	557eae1e1d014fdf96916b03e4ded713.jpg
30585488	1920s	USA	Standard Magazine Advert	3225b99726d7f40fae103482cf738906.jpg
30585487	1920s	USA	Allied Merchants Magazine Advert	d166d9012d6cad72c6434867f7b65273.jpg
30585486	1920s	USA	Illustrations Magazine Advert	720b3c6314030b84607550f146e0cbb5.jpg
30585485	1920s	USA	Scranton Magazine Plate	805eb2e7ac5cb94e8669c0e338b256fa.jpg
30585484	1920s	USA	Vreeland Magazine Advert	4c340b5a3f07891d5454651e9addcfcb.jpg
30585483	1920s	USA	Titus Magazine Advert	3ddda7ca4b2c5c7eb737a8f79e2c3b39.jpg
30585478	1920s	USA	Kodak Magazine Advert	4e44c9393c6ad58d71dec6577374881a.jpg
30585477	1920s	USA	Ingrams Magazine Advert	e99217c70cfe268d893d8846fca804e2.jpg
30585474	1920s	USA	The Battle of the Sexes Film Poster	d66a382bdd7549fc90f7c414c6b50819.jpg
30585473	1920s	USA	Mum Deodrant Magazine Advert	8b753c81cd5d7c572d8dbba4b1e02a63.jpg
30585472	1920s	USA	Mulsified Coconut Oil Magazine...	1c56e55363b22cb9745df7ce54f8b8f3.jpg
30585471	1920s	USA	Real Silk Magazine Advert	bf89631d7007682730867aab8feb36d0.jpg
30585470	1920s	USA	Debevoise Magazine Advert	b2a920853f94deb801bf9b917be0aeb9.jpg
30585469	1920s	USA	Buster Brown Magazine Advert	bedbbea48e759774b11f6644f4eb6687.jpg
30585467	1920s	USA	Stehli Silk Magazine Advert	9638cda22b45714d9dd5bfd302fa41e6.jpg
30585466	1920s	USA	Illustrations Magazine Advert	87a1256e7a5a8d44cd0aad42623f4a55.jpg
30585461	1920s	USA	Monarch Magazine Advert	08ddf2a76aca7be4cd669e523a9510dc.jpg
30585459	1920s	USA	Wrigleys Magazine Advert	20397fe131d910bb26917fada8960bd7.jpg
30585458	1920s	USA	Libby's Magazine Advert	a99be6d40b5129da31381a35a0d962d0.jpg
30585457	1920s	USA	Coca-cola Magazine Plate	9008a33dce7b8b38ddb4b0628edccceb.jpg
30585379	1925	USA	Camels Magazine Advert	067fb21d6231919b4750eda29afd577c.jpg
30585378	1925	USA	Camels Magazine Advert	a0487aeb6914aac2d07269efc7a45049.jpg
30585377	1925	USA	Camels Magazine Advert	458bcdc2e8957d4c0da0e43b13bbdf9a.jpg
30585376	1925	USA	Camels Magazine Advert	0b2a9e8d6cc7f9c7cc92d0233033e528.jpg
30585326	1930s	USA	Illustrations Magazine Advert	e6ceaf062089b2232075d9eb7fdce2b2.jpg
30585325	1930s	USA	Old Gold Magazine Advert	2d471d64e0196bd12fceedc814e94a34.jpg
30585323	1930s	USA	Lucky Strike Magazine Advert	26e27221804a15e5088449890e94feed.jpg
30585319	1930s	USA	Lucky Strike Magazine Advert	559ceedf15cf9dd186218877f9b50ab2.jpg
30585314	1930s	USA	Palmolive Magazine Advert	a95fd67bdd677f111af0503522b29aef.jpg
30585310	1930s	USA	Kodak Magazine Advert	64ddd9d496874b0b0cb6f84fda29fa35.jpg
30585309	1930s	USA	Illustrations Magazine Advert	1cdc6206944f6b021248862116fffd67.jpg
30585307	1930s	USA	Illustrations Magazine Advert	529a4a6c14ed671c3e0dd2f32c236bdf.jpg
30585306	1930s	USA	Illustrations Magazine Advert	70a359cf01d34298cbcf45b5ca1321c6.jpg
